SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
BPF02D3D,Baroda MF - Baroda Treasury Advantage Fund - Plan A- WDRO -SP1,MF,23-MAR-2020,1,1,INF955L01JI7,1000
BPF02D3R,Baroda MF - Baroda Treasury Advantage Fund - Plan A- MDPO -SP1,MF,23-MAR-2020,1,1,INF955L01JJ5,1000
BPF02D4D,Baroda MF - Baroda Treasury Advantage Fund - Plan A- MDRO -SP1,MF,23-MAR-2020,1,1,INF955L01JG1,1000
BPF02D4R,Baroda MF - Baroda Treasury Advantage Fund - Plan A- QDPO -SP1,MF,23-MAR-2020,1,1,INF955L01JH9,1000
BPF02D5R,Baroda MF - Baroda Treasury Advantage Fund - Plan A- QDRO -SP1,MF,23-MAR-2020,1,1,INF955L01JL1,1000
BPF02IDR,Baroda MF - Baroda Treasury Advantage Fund - Plan B -GO - SP1,MF,23-MAR-2020,1,1,INF955L01JD8,1000
BPF02IGG,Baroda MF - Baroda Treasury Advantage Fund - Plan B -DDRO - SP1,MF,23-MAR-2020,1,1,INF955L01IY6,1000
BPF02IMD,Baroda MF - Baroda Treasury Advantage Fund - Plan B -WDRO - SP1,MF,23-MAR-2020,1,1,INF955L01JB2,1000
BPF02IMR,Baroda MF - Baroda Treasury Advantage Fund - Plan B -MDPO - SP1,MF,23-MAR-2020,1,1,INF955L01JC0,1000
BPF02IQD,Baroda MF - Baroda Treasury Advantage Fund - Plan B -MDRO - SP1,MF,23-MAR-2020,1,1,INF955L01IZ3,1000
BPF02IWR,Baroda MF - Baroda Treasury Advantage Fund - Plan B -QDRO - SP1,MF,23-MAR-2020,1,1,INF955L01JE6,1000
BPF02RDR,Baroda MF - Baroda Treasury Advantage Fund - RPGO - SP1,MF,23-MAR-2020,1,1,INF955L01JN7,1000
BPF02RGG,Baroda MF - Baroda Treasury Advantage Fund - RPDDRO - SP1,MF,23-MAR-2020,1,1,INF955L01JM9,1000
BPF02RMD,Baroda MF - Baroda Treasury Advantage Fund - RPWDRO - SP1,MF,23-MAR-2020,1,1,INF955L01JP2,1000
BPF02RMR,Baroda MF - Baroda Treasury Advantage Fund - RPMDPO - SP1,MF,23-MAR-2020,1,1,INF955L01JQ0,1000
BPF02RWR,Baroda MF - Baroda Treasury Advantage Fund - RPMDRO - SP1,MF,23-MAR-2020,1,1,INF955L01JO5,1000
BPP11,Baroda Mutual Fund - Baroda FMP- Series P-DPDPO,MF,22-FEB-2019,10,1,INF955L01HR2,10
BPP12,Baroda Mutual Fund - Baroda FMP- Series P-DPGO,MF,22-FEB-2019,10,1,INF955L01HQ4,10
BPP1D,Baroda Mutual Fund - Baroda FMP- Series P-RPDPO,MF,22-FEB-2019,10,1,INF955L01HP6,10
BPP1G,Baroda Mutual Fund - Baroda FMP- Series P-RPGO,MF,22-FEB-2019,10,1,INF955L01HO9,10
BSLIFQPIDG,Aditya Birla SL MF AB SL - IIF- Qtrly Plan - Series I - Direct - G,MF,28-MAR-2013,10,1,INF209K01YQ3,10
BSLIQPIIDP, Aditya Birla SL Int. IF - QP - SI - IPDP,MF,01-APR-2011,10,1,INF209K01HR6,10
BSLIQPIRDP, Aditya Birla SL Int. IF - QP - SI - RPDP,MF,01-APR-2011,10,1,INF209K01HO3,10
BSLIQPIRG, Aditya Birla SL Int. IF - QP - SI - RPG,MF,01-APR-2011,10,1,INF209K01HN5,10
CRF8DD,Canara Robeco Mutual Fund - Canara Robeco FMP Sr 8 -DPDP,MF,22-OCT-2018,10,1,INF760K01IZ9,10
CRF8DG,Canara Robeco Mutual Fund - Canara Robeco FMP Sr 8 - DPG,MF,22-OCT-2018,10,1,INF760K01IY2,10
CRF8DP,Canara Robeco Mutual Fund - Canara Robeco FMP Sr 8 - RPDP,MF,22-OCT-2018,10,1,INF760K01JB8,10
CRF8GP,Canara Robeco Mutual Fund - Canara Robeco FMP Sr 8 - RPG,MF,22-OCT-2018,10,1,INF760K01JA0,10
CRMFCXDD,Canara Robeco Capital Protection Oriented Fund-Sr. 10(1128D)-DP-DPO,MF,18-MAR-2019,10,1,INF760K01JJ1,10
CRMFCXDG,Canara Robeco Capital Protection Oriented Fund-Sr. 10(1128D)-DP-GO,MF,18-MAR-2019,10,1,INF760K01JI3,10
CRMFCXDP,Canara Robeco Capital Protection Oriented Fund-Sr. 10(1128D)-RP-DPO,MF,18-MAR-2019,10,1,INF760K01JL7,10
CRMFCXGP,Canara Robeco Capital Protection Oriented Fund-Sr.10(1128D)-RP-GO,MF,18-MAR-2019,10,1,INF760K01JK9,10
D1DD,Canara Robeco Mutual Fund - Canara Robeco Dual Adv Fund - Series 1,MF,15-JUN-2018,10,1,INF760K01IV8,10
D1DG,Canara Robeco Mutual Fund - Canara Robeco Dual Adv Fund - Series 1,MF,15-JUN-2018,10,1,INF760K01IU0,10
D1DP,Canara Robeco Mutual Fund - Canara Robeco Dual Adv Fund - Series 1,MF,15-JUN-2018,10,1,INF760K01IX4,10
D1GP,Canara Robeco Mutual Fund - Canara Robeco Dual Adv Fund - Series 1,MF,15-JUN-2018,10,1,INF760K01IW6,10
DAXXIXDD,SBI MF - SBI DUAL ADVANTAGE FUND - Sr. XXIX - DP - DP,MF,30-JUL-2018,10,1,INF200KA1UR2,10
DAXXIXDR,SBI MF - SBI DUAL ADVANTAGE FUND - Sr. XXIX - RP - DP,MF,30-JUL-2018,10,1,INF200KA1UP6,10
DAXXIXGD,SBI MF- SBI DUAL ADVANTAGE FUND - Sr. XXIX - DP -G,MF,30-JUL-2018,10,1,INF200KA1UQ4,10
DAXXIXGR,SBI MF - SBI DUAL ADVANTAGE FUND - Sr. XXIX - RP - G,MF,30-JUL-2018,10,1,INF200KA1UO9,10
DAXXXDD,SBI Mutual Fund - SBI Dual Advantage Fund Series XXX - DP - DPO,MF,26-OCT-2018,,1,INF200KA1VY6,10
DAXXXDR,SBI Mutual Fund - SBI Dual Advantage Fund Series XXX - RP-DPO,MF,26-OCT-2018,,1,INF200KA1VW0,10
DAXXXGD,SBI Mutual Fund - SBI Dual Advantage Fund Series XXX - DP-GO,MF,26-OCT-2018,,1,INF200KA1VX8,10
DAXXXGR,SBI Mutual Fund - SBI Dual Advantage Fund Series XXX - RP-GO,MF,26-OCT-2018,,1,INF200KA1VV2,10
DPDPOP,IL&FS Infra Mutual Fund - IL&FS Infrastructure Debt Fund Series 3 Plan,MF,,10,1,INF613Q01116,10
DPGOP,IL&FS Infra Mutual Fund - IL&FS Infrastructure Debt Fund Series 3 Plan,MF,,10,1,INF613Q01108,10
EC1DD,Sundaram Mutual Fund-Sundaram Emerging Small Cap Series I-DPDPO,MF,16-MAR-2018,10,1,INF903JA1CK8,10
EC1DG,Sundaram Mutual Fund-Sundaram Emerging Small Cap Series I-DPGO,MF,16-MAR-2018,10,1,INF903JA1CJ0,10
EC1RD,Sundaram Mutual Fund-Sundaram Emerging Small Cap Series I-RPDPO,MF,16-MAR-2018,10,1,INF903JA1CI2,10
EC1RG,Sundaram Mutual Fund - Sundaram Emerging Small Cap Series I-RPGO,MF,16-MAR-2018,10,1,INF903JA1CH4,10
EC2DD,Sundaram Mutual Fund - SUNDARAM EMERGING SMALL CAP SERIES II - DPDPO,MF,13-APR-2018,10,1,INF903JA1CS1,10
EC2DG,Sundaram Mutual Fund - SUNDARAM EMERGING SMALL CAP SERIES II - DPGO,MF,13-APR-2018,10,1,INF903JA1CR3,10
EC2RD,Sundaram Mutual Fund - SUNDARAM EMERGING SMALL CAP SERIES II - RPDPO,MF,13-APR-2018,10,1,INF903JA1CQ5,10
EC2RG,Sundaram Mutual Fund - SUNDARAM EMERGING SMALL CAP SERIES II - RPGO,MF,13-APR-2018,10,1,INF903JA1CP7,10
EC3DD,Sundaram Mutual Fund - SUNDARAM EMERGING SMALL CAP SERIES III - DPDPO,MF,18-MAY-2018,10,1,INF903JA1DE9,10
EC3DG,Sundaram Mutual Fund - SUNDARAM EMERGING SMALL CAP SERIES III - DPGO,MF,18-MAY-2018,10,1,INF903JA1DD1,10
EC3RD,Sundaram Mutual Fund - SUNDARAM EMERGING SMALL CAP SERIES III - RPDPO,MF,18-MAY-2018,10,1,INF903JA1DC3,10
EC3RG,Sundaram Mutual Fund - SUNDARAM EMERGING SMALL CAP SERIES III - RPGO,MF,18-MAY-2018,10,1,INF903JA1DB5,10
EC4DD,Sundaram Mutual Fund - Sundaram Emerging Small Cap Series IV ¿ DPDPO,MF,15-JUN-2018,10,1,INF903JA1DQ3,10
EC4DG,Sundaram Mutual Fund - Sundaram Emerging Small Cap Series IV ¿ DPGO,MF,15-JUN-2018,10,1,INF903JA1DP5,10
EC4RD,Sundaram Mutual Fund - Sundaram Emerging Small Cap Series IV - RPDPO,MF,15-JUN-2018,10,1,INF903JA1DO8,10
EC4RG,Sundaram Mutual Fund - Sundaram Emerging Small Cap Series IV ¿ RPGO,MF,15-JUN-2018,10,1,INF903JA1DN0,10
EC5DD,Sundaram MF - Sundaram Emerging Small CapSeries V - Direct Dividend,MF,21-AUG-2018,10,1,INF903JA1EO6,10
EC5DG,Sundaram MF - Sundaram Emerging Small Cap Series V - Direct Growth,MF,21-AUG-2018,10,1,INF903JA1EN8,10
EC5RD,Sundaram MF - Sundaram Emerging Small Cap Series V - Regular Dividend,MF,21-AUG-2018,10,1,INF903JA1EM0,10
EC5RG,Sundaram MF - Sundaram Emerging Small Cap Series V - Regular Growth,MF,21-AUG-2018,10,1,INF903JA1EL2,10
EC6DD,Sundaram Mutual Fund - Sundaram Emerging Small Cap Series VI - DP-DPO,MF,14-SEP-2018,10,1,INF903JA1EW9,10
EC6DG,Sundaram Mutual Fund - Sundaram Emerging Small Cap Series VI - DP-GO,MF,14-SEP-2018,10,1,INF903JA1EV1,10
EC6RD,Sundaram Mutual Fund - Sundaram Emerging Small Cap Series VI - RP- DPO,MF,14-SEP-2018,10,1,INF903JA1EU3,10
EC6RG,Sundaram Mutual Fund - Sundaram Emerging Small Cap Series VI - RP- GO,MF,14-SEP-2018,10,1,INF903JA1ET5,10
EC7DD,Sundaram Mutual Fund-Sundaram Emerging Small Cap Series VII - DP- DPO,MF,05-OCT-2018,10,1,INF903JA1FI5,10
EC7DG,Sundaram Mutual Fund-Sundaram Emerging Small Cap Series VII - DP- GO,MF,05-OCT-2018,10,1,INF903JA1FH7,10
EC7RD,Sundaram Mutual Fund-Sundaram Emerging Small Cap Series VII - RP-DPO,MF,05-OCT-2018,10,1,INF903JA1FG9,10
EC7RG,Sundaram Mutual Fund - Sundaram Emerging Small Cap Series VII -RP- GO,MF,05-OCT-2018,10,1,INF903JA1FF1,10
EMFFMP49DD,Edelweiss Mutual Fund-Edelweiss FMP Series 49-DD,MF,09-JUL-2018,10,1,INF754K01JG0,10
EMFFMP49DG,Edelweiss Mutual Fund-Edelweiss FMP Series 49-DG,MF,09-JUL-2018,10,1,INF754K01JF2,10
EMFFMP49RD,Edelweiss Mutual Fund-Edelweiss FMP Series 49-RD,MF,09-JUL-2018,10,1,INF754K01JI6,10
EMFFMP49RG,Edelweiss Mutual Fund-Edelweiss FMP Series 49-RG,MF,09-JUL-2018,10,1,INF754K01JH8,10
EMFFMP55DD,Edelweiss Mutual Fund - Edelweiss FMP - Sr 55 - DPDPO,MF,22-MAR-2019,10,1,INF754K01JS5,10
EMFFMP55DG,Edelweiss Mutual Fund - Edelweiss FMP - Sr 55 - DPGO,MF,22-MAR-2019,10,1,INF754K01JR7,10
EMFFMP55RD,Edelweiss Mutual Fund - Edelweiss FMP - Sr 55 - RPDPO,MF,22-MAR-2019,10,1,INF754K01JU1,10
EMFFMP55RG,Edelweiss Mutual Fund - Edelweiss FMP - Sr 55 - RPGO,MF,22-MAR-2019,10,1,INF754K01JT3,10
F134D,HSBC Mutual Fund - HSBC Fixed Term Series 134 - HSBC FTS - RPDPO,MF,14-JUN-2018,10,1,INF336L01MY1,10
F134G,HSBC Mutual Fund - HSBC Fixed Term Series 134 - HSBC FTS - RPGO,MF,14-JUN-2018,10,1,INF336L01MX3,10
F135D,HSBC Mutual Fund - HSBC Fixed Term Series 135 - RPDPO,MF,17-JUL-2018,10,1,INF336L01NC5,10
F135G,HSBC Mutual Fund - HSBC Fixed Term Series 135 - RPGO,MF,17-JUL-2018,10,1,INF336L01NB7,10
F136D,HSBC Mutual Fund - HSBC Fixed Term Series Plan 136 - RP-Dividend,MF,21-AUG-2018,10,1,INF336L01NG6,10
F136G,HSBC Mutual Fund - HSBC Fixed Term Series Plan 136 - RP-Growth,MF,21-AUG-2018,10,1,INF336L01NF8,10
F137D,HSBC Fixed Term Series 137 (1187 Days) - RP-DPO,MF,24-JAN-2019,10,1,INF336L01NQ5,10
F137G,HSBC Fixed Term Series 137 (1187 Days) - RP-GO,MF,24-JAN-2019,10,1,INF336L01NP7,10
F139D,HSBC Fixed Term Series 139 (1163 Days) - RP-DPO,MF,05-MAR-2019,10,1,INF336L01NU7,10
F139G,HSBC Fixed Term Series 139 (1163 Days) - RP-GO,MF,05-MAR-2019,10,1,INF336L01NT9,10
F140D,HSBC Mutual Fund - HSBC Fixed Term Series 140 - HSBC FTS 140 - RPDPO,MF,06-MAY-2019,10,1,INF336L01OE9,10
F140G,HSBC Mutual Fund - HSBC Fixed Term Series 140 - HSBC FTS 140 - RPGO,MF,06-MAY-2019,10,1,INF336L01OD1,10
FICRF2DP,Franklin India Credit Risk Fund SP -Regular Plan-Dividend P - FICRF2DP,MF,07-FEB-2020,1,1,INF090I01TM0,1
FICRF2DPD,Franklin India Credit Risk Fund SP -Direct Plan-Divdend P - FICRF2DPD,MF,07-FEB-2020,1,1,INF090I01TO6,1
FICRF2GP,Franklin India Credit Risk Fund SP -RPG- FICRF2GP,MF,07-FEB-2020,1,1,INF090I01TN8,1
FICRF2GPD,Franklin India Credit Risk Fund SP -Direct Plan-Growth - FICRF2GPD,MF,07-FEB-2020,1,1,INF090I01TP3,1
FICRF3DP,Franklin Templeton Mutual Fund - FICRF - Segregated Portfolio 3 Ser RG,MF,24-MAR-2020,1,1,INF090I01VW5,1
FICRF3GP,Franklin Templeton Mutual Fund - FICRF - Segregated Portfolio 3 Se RDP,MF,24-MAR-2020,1,1,INF090I01VX3,1
FICRFD3DPD,Franklin Templeton Mutual Fund - FICRF - Segregated Portfolio 3 Se DDP,MF,24-MAR-2020,1,1,INF090I01VY1,1
FICRFD3GPD,Franklin Templeton Mutual Fund - FICRF - Segregated Portfolio 3 Ser DG,MF,24-MAR-2020,1,1,INF090I01VZ8,1
FIFMPS4DDG,Franklin Templeton MF-Franklin India FMP-Series 4 Plan D (1098 D)-DG,MF,18-SEP-2018,10,1,INFO9OIO1PV9,10
FIFMPS4DDP,Franklin Templeton MF-Franklin India FMP-Series 4 Plan D (1098 D)-DP,MF,18-SEP-2018,10,1,INFO9OIO1PT3,10
FIFMPS4DQD,Franklin Templeton MF-Franklin India FMP-Series 4 Plan D (1098 D)-QDP,MF,18-SEP-2018,10,1,INF090IO1PU1,10
FIFMPS4EDG,Franklin India Fixed Maturity Plan-Series 4 Plan E-DG,MF,04-OCT-2018,10,1,INF090I01QB9,10
FIFMPS4EDP,Franklin India Fixed Maturity Plan - Series 4 Plan E - DP,MF,04-OCT-2018,10,1,INF090I01PZ0,10
FIFMPS4EDQ,Franklin India Fixed Maturity Plan - Series 4 Plan E - DQDP,MF,04-OCT-2018,10,1,INF090I01QD5,10
FIFMPS4EQP,Franklin India Fixed Maturity Plan - Series 4 Plan E - QDP,MF,04-OCT-2018,10,1,INF090I01QA1,10
FIFMPS4ERG,Franklin India Fixed Maturity Plan - Series 4 Plan E - RG,MF,04-OCT-2018,10,1,INF090I01PY3,10
FIFMPS4FDD,Franklin Templeton MF- Franklin India FMP-SR. 4 Plan F (1286 D)DP-DPO,MF,17-OCT-2018,10,1,INF090I01QI4,10
FIFMPS4FDG,Franklin Templeton MF- Franklin India FMP-SR. 4 Plan F (1286 D) DP-GO,MF,17-OCT-2018,10,1,INF090I01QH6,10
FIFMPS4FDP,Franklin Templeton MF- Franklin India FMP-SR. 4 Plan F (1286 D) DPO,MF,17-OCT-2018,10,1,INF090I01QF0,10
FIFMPS4FDQ,Franklin Templeton MF-Franklin India FMP-SR. 4 Plan F(1286 D) DP-QDPO,MF,17-OCT-2018,10,1,INF090I01QJ2,10
FIFMPS4FGR,Franklin Templeton MF- Franklin India FMP-SR. 4 Plan F (1286 D) -GO,MF,17-OCT-2018,10,1,INF090I01QE3,10
FIFMPS4FQP,Franklin Templeton MF- Franklin India FMP-SR. 4 Plan F (1286 D) QDPO,MF,17-OCT-2018,10,1,INF090I01QG8,10
FIFMPS5ADD,Franklin Templeton Mutual Fund-Franklin India FMP-DDP,MF,06-NOV-2018,10,1,INF090I01QO2,10
FIFMPS5ADG,Franklin Templeton Mutual Fund-Franklin India FMP-DG,MF,06-NOV-2018,10,1,INF090I01QN4,10
FIFMPS5ADP,Franklin Templeton Mutual Fund-Franklin India FMP-DP,MF,06-NOV-2018,10,1,INF090I01QL8,10
FIFMPS5ADQ,Franklin Templeton Mutual Fund-Franklin India FMP-DQDP,MF,06-NOV-2018,10,1,INF090I01QP9,10
FIFMPS5AGR,Franklin Templeton Mutual Fund-Franklin India FMP-RG,MF,06-NOV-2018,10,1,INF090I01QK0,10
FIFMPS5AQP,Franklin Templeton Mutual Fund-Franklin India FMP-QDP,MF,06-NOV-2018,10,1,INF090I01QM6,10
FIFMPS5BDG,Franklin Templeton Mutual Fund - Franklin India FMP-DG,MF,05-DEC-2018,10,1,INF090I01QT1,10
FIFMPS5BDP,Franklin Templeton Mutual Fund - Franklin India FMP-DP,MF,05-DEC-2018,10,1,INF090I01QR5,10
FIFMPS5BGR,Franklin Templeton Mutual Fund - Franklin India FMP-RG,MF,05-DEC-2018,10,1,INF090I01QQ7,10
FIFMPS5BQP,Franklin Templeton Mutual Fund - Franklin India FMP-QD,MF,05-DEC-2018,10,1,INF090I01QS3,10
FIFMPS5CDD,Franklin India Fixed Maturity Plans-Series 5-Plan C-DP-DPO,MF,26-DEC-2018,10,1,INF090I01RA9,10
FIFMPS5CDG,Franklin India Fixed Maturity Plans -Series 5-Plan C-DP-GO,MF,26-DEC-2018,10,1,INF090I01QZ8,10
FIFMPS5CDP,Franklin India Fixed Maturity Plans-Series 5-Plan C-DPO,MF,26-DEC-2018,10,1,INF090I01QX3,10
FIFMPS5CDQ,Franklin India Fixed Maturity Plans-Series 5-Plan C-DP-QDPO,MF,26-DEC-2018,10,1,INF090I01RB7,10
FIFMPS5CQD,Franklin India Fixed Maturity Plans -Series 5-Plan C-QDPO,MF,26-DEC-2018,10,1,INF090I01QY1,10
FIFMPS5DDD,Franklin India FMP -Series 5- Plan D(1238 Days) -DP-DPO,MF,15-JAN-2019,10,1,INF090I01RG6,10
FIFMPS5DDG,Franklin India FMP-Series 5 - Plan D(1238 Days) -DP-GO,MF,15-JAN-2019,10,1,INF090I01RF8,10
FIFMPS5DDP,Franklin India FMP-Series 5- Plan D(1238 Days) -DPO,MF,15-JAN-2019,10,1,INF090I01RD3,10
FIFMPS5DQP,Franklin India FMP-Series 5-Plan D(1238 Days)-QDPO,MF,15-JAN-2019,10,1,INF090I01RE1,10
FIFMPS5EDD,Franklin Templeton Mutual Fund - FIFMP - Series 5 Plan E - DD,MF,29-JAN-2019,10,1,INF090I01RM4,10
FIFMPS5EDG,Franklin Templeton Mutual Fund - FIFMP - Series 5 Plan E - DG,MF,29-JAN-2019,10,1,INF090I01RL6,10
FIFMPS5EDP,Franklin Templeton Mutual Fund - FIFMP - Series 5 Plan E - DP,MF,29-JAN-2019,10,1,INF090I01RJ0,10
FIFMPS5EDQ,Franklin Templeton Mutual Fund - FIFMP - Series 5 Plan E - DQD,MF,29-JAN-2019,10,1,INF090I01RN2,10
FIFMPS5EQP,Franklin Templeton Mutual Fund - FIFMP - Series 5 Plan E - QD,MF,29-JAN-2019,10,1,INF090I01RK8,10
FIFMPS5FDD,Franklin India Fixed Maturity Plans -Series 5-Plan F(1203D)-DP-DPO,MF,20-FEB-2019,10,1,INF090I01RS1,10
FIFMPS5FDG,Franklin India Fixed Maturity Plans -Series 5-Plan F(1203D)-DP-GO,MF,20-FEB-2019,10,1,INF090I01RR3,10
FIFMPS5FDP,Franklin India Fixed Maturity Plans -Series 5-Plan F(1203D)-DPO,MF,20-FEB-2019,10,1,INF090I01RP7,10
FIFMPS5FDQ,Franklin India Fixed Maturity Plans -Series 5-Plan F(1203D)-DP-QDPO,MF,20-FEB-2019,10,1,INF090I01RT9,10
FIFMPS5FQD,Franklin India Fixed Maturity Plans -Series 5-Plan F(1203D)-QDPO,MF,20-FEB-2019,10,1,INF090I01RQ5,10
FIFMPS5FRG,Franklin India Fixed Maturity Plans -Series 5-Plan F(1203D)-GO,MF,20-FEB-2019,10,1,INF090I01RO0,10
FIFMPS6CDG,Franklin Templeton - Franklin India FMP - Series 6 Plan C - DPGO,MF,26-MAR-2019,10,1,INF090I01SJ8,10
FIFMPS6CDP,Franklin Templeton - Franklin India FMP - Series 6 Plan C - DPO,MF,26-MAR-2019,10,1,INF090I01SH2,10
FIFMPS6CQP,Franklin Templeton - Franklin India FMP - Series 6 Plan C - QDPO,MF,26-MAR-2019,10,1,INF090I01SI0,10
FIFMPS6CRG,Franklin Templeton - Franklin India FMP - Series 6 Plan C - GO,MF,26-MAR-2019,10,1,INF090I01SG4,10
FIIOF2DP,Franklin India Income Opportunities Fund SP - FIIOF2DP,MF,07-FEB-2020,1,1,INF090I01TE7,1
FIIOF2DPD,Franklin India Income Opportunities Fund SP - FIIOF2DPD,MF,07-FEB-2020,1,1,INF090I01TG2,1
FIIOF2GP,Franklin India Income Opportunities Fund SP - FIIOF2GP,MF,07-FEB-2020,1,1,INF090I01TF4,1
FIIOF2GPD,Franklin India Income Opportunities Fund SP - FIIOF2GPD,MF,07-FEB-2020,1,1,INF090I01TH0,1
FILDF2GP,Franklin India Low Duration Fund-SP -RPG- FILDF2GP,MF,07-FEB-2020,1,1,INF090I01UG0,1
FILDF2GPD,Franklin India Low Duration Fund-SP -DPG - FILDF2GPD,MF,07-FEB-2020,1,1,INF090I01UJ4,1
FIMPS4ADDP,Franklin Templeton Mutual Fund - FIFMP - Series 4 DDP,MF,04-JUL-2018,10,1,INF090I01OQ2,10
FIMPS4ADG,Franklin Templeton Mutual Fund - FIFMP - Series 4 DG,MF,04-JUL-2018,10,1,INF090I01OP4,10
FIMPS4ADP,Franklin Templeton Mutual Fund - FIFMP - Series 4 - DP,MF,04-JUL-2018,10,1,INF090I01ON9,10
FIMPS4AQDD,Franklin Templeton Mutual Fund - FIFMP - Series 4 DQDP,MF,04-JUL-2018,10,1,INF090I01OR0,10
FIMPS4AQDP,Franklin Templeton Mutual Fund - FIFMP - Series 4 QDP,MF,04-JUL-2018,10,1,INF090I01OO7,10
FIMPS4ARG,Franklin Templeton Mutual Fund - FIFMP - Series 4 RG,MF,04-JUL-2018,10,1,INF090I01OM1,10
FIMPS4BDDP,Franklin Templeton Mutual Fund-Franklin India FMP-Series 4 Plan B-DDP,MF,01-AUG-2018,10,1,INF090I01OW0,10
FIMPS4BDG,Franklin Templeton Mutual Fund-Franklin India FMP-Series 4 Plan B-DP,MF,01-AUG-2018,10,1,INF090I01OV2,10
FIMPS4BDP,Franklin Templeton Mutual Fund - Franklin India FMP-DP,MF,01-AUG-2018,10,1,INF090I01OT6,10
FIMPS4BQDP,Franklin Templeton Mutual Fund-Franklin India FMP-Series 4 Plan B-QDP,MF,01-AUG-2018,10,1,INF090I01OU4,10
FIMPS4BRG,Franklin Templeton Mutual Fund - Franklin India FMP-RG,MF,01-AUG-2018,10,1,INF090I01OS8,10
FIMPS4CDG,Franklin Templeton Mutual Fund - Franklin India FMP-DG,MF,05-SEP-2018,10,1,INF090I01PP1,10
FIMPS4CDP,Franklin Templeton Mutual Fund - Franklin India FMP-DP,MF,05-SEP-2018,10,1,INF090I01PN6,10
FIMPS4CDQD,Franklin Templeton Mutual Fund - Franklin India FMP-DQDP,MF,05-SEP-2018,10,1,INF090I01PR7,10
FIMPS4CQDP,Franklin Templeton Mutual Fund - Franklin India FMP-QDP,MF,05-SEP-2018,10,1,INF090I01PO4,10
FIMPS4CRG,Franklin Templeton Mutual Fund - Franklin India FMP-RG,MF,05-SEP-2018,10,1,INF090I01PM8,10
FISTIP2GP,Franklin India Short Term Income Pl-Retail Pl-SP -RPG- FISTIP2GP,MF,07-FEB-2020,1,1,INF090I01UT3,1
FISTIP2GPD,Franklin India Short Term Income Pl-Retail Pl-SP -DPG- FISTIP2GPD,MF,07-FEB-2020,1,1,INF090I01UY3,1
FISTIP2MDP,Franklin India Short Term Income Pl-Retail Pl-SP -RP-MDP - FISTIP2MDP,MF,07-FEB-2020,1,1,INF090I01UV9,1
FISTIP2QDP,Franklin India Short Term Income Pl-Retail Pl-SP -RP-QDP - FISTIP2QDP,MF,07-FEB-2020,1,1,INF090I01UU1,1
FISTIP2WDP,Franklin India Short Term Income Pl-Retail Pl-SP -RP-WDP - FISTIP2WDP,MF,07-FEB-2020,1,1,INF090I01UW7,1
FISTIP3GP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 Ser RDG,MF,24-MAR-2020,1,1,INF090I01VN4,1
FISTIP3MDP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RDWDP,MF,24-MAR-2020,1,1,INF090I01VP9,1
FISTIP3QDP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RDMDP,MF,24-MAR-2020,1,1,INF090I01VO2,1
FISTIP3WDP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RDQDP,MF,24-MAR-2020,1,1,INF090I01VQ7,1
FISTIPD3GP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 Ser IRG,MF,24-MAR-2020,1,1,INF090I01VS3,1
FISTIPD3MD,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 Ser RRG,MF,24-MAR-2020,1,1,INF090I01VU9,1
FISTIPD3QD,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RRMDP,MF,24-MAR-2020,1,1,INF090I01VT1,1
FISTIPD3WD,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RRWDP,MF,24-MAR-2020,1,1,INF090I01VV7,1
FISTIPIP3G,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RRQDP,MF,24-MAR-2020,1,1,INF090I01VR5,1
FISTP2MDPD,Franklin India Short Term Income Pl-Retail Pl-SP -DP-MDP - FISTIP2MDPD,MF,07-FEB-2020,1,1,INF090I01VA1,1
FISTP2QDPD,Franklin India Short Term Income Pl-Retail Pl-SP -DP-QDP - FISTIP2QDPD,MF,07-FEB-2020,1,1,INF090I01UZ0,1
FISTP2WDPD,Franklin India STI Pl-Retail Pl- SP -Direct Plan-WDP  - FISTIP2WDPD,MF,07-FEB-2020,1,1,INF090I01VB9,1
FISTPIP2GP,Franklin India Short Term Income Pl-Inst Pl- SP -RPG - FISTIPIP2GP,MF,07-FEB-2020,1,1,INF090I01UX5,1
FMPS3FDGR,Franklin Templeton Mutual Fund-Franklin India FMP-Series 3 Plan F-DPGO,MF,20-JUN-2018,10,1,INF090I01OJ7,10
FMPS3FDP,Franklin Templeton Mutual Fund-Franklin India FMP-Series 3 Plan F-DPO,MF,20-JUN-2018,10,1,INF090I01OH1,10
FMPS3FGR,Franklin Templeton Mutual Fund-Franklin India FMP-Series 3 Plan F-RGO,MF,20-JUN-2018,10,1,INF090I01OG3,10
H1099D41DD,HDFC MF - HDFC FMP 1099D June 2018 (1) - Sr. 41 - DO - NDPO,MF,05-JUL-2018,10,1,INF179KB15I3,10
